" JWST June 2021 Working Commissioning Timeline ",,,,,,,,
"866",,"MIRI ICE Power OFF",9.28,"day",0.27,"hr",9.29,"day"
"912.09",,"Disable Sunline Rotation",9.91,"day",0.55,"hr",9.93,"day"
"691","HEADER","SMSS Deployment Operations",9.92,"day",7.24,"hr",10.23,"day"
"878",691,"Synch Mid-hinge Latch Stepper Motor & Flinch move for Inboard Hinge",9.92,"day",1.00,"hr",9.97,"day"
"28",691,"Release SMSS LRMs",10.00,"day",0.72,"hr",10.03,"day"
"632",691,"Release OTE LRM GRP-03A/B, SMSS (PMBA SIDE) SMSS TO +V2 DUAL LRM",10.00,"day",0.25,"hr",10.01,"day"
"633",691,"Release OTE LRM GRP-05A/B, , SMSS (PMBA SIDE) SMSS TO SINGLE STRUT LRM, Group = 1",10.02,"day",0.25,"hr",10.03,"day"
"300",691,"SMSS First motion",10.03,"day",0.25,"hr",10.05,"day"
"301",691,"SMSS Deployment",10.05,"day",1.00,"hr",10.09,"day"
"302",691,"SMSS Latch Bulk move",10.10,"day",1.00,"hr",10.14,"day"
"304",691,"Remove SMSS holding torque",10.15,"day",0.25,"hr",10.16,"day"
"305",691,"Back off SMSS hinge",10.17,"day",0.25,"hr",10.18,"day"
"303",691,"SMSS Latch Terminal move",10.18,"day",0.50,"hr",10.20,"day"
"306",691,"Power OFF SMSS heaters",10.21,"day",0.33,"hr",10.23,"day"
"891.12",,"Alarm Limit Transition #12 (Post SMSS Deploy)",10.23,"day",0.08,"hr",10.23,"day"
"911.10",,"Enable Sunline Rotation",10.24,"day",0.42,"hr",10.25,"day"
"636",,"ADIR Launch Lock Heating",10.26,"day",18.00,"hr",11.01,"day"
"747",,"Adjust Spacecraft Thermal Stability Heater Set-points",10.50,"day",0.50,"hr",10.52,"day"
"912.10",,"Disable Sunline Rotation",10.98,"day",0.55,"hr",11.01,"day"
"282","HEADER","ADIR Launch Lock Release Part 2",11.01,"day",1.00,"hr",11.04,"day"
"637",282,"Release OTE LRM GRP-09A/B, ADIR Part 2 ADIR -V2/+V3, Part 2, Group = 1",11.00,"day",1.00,"hr",11.04,"day"
"911.11",,"Enable Sunline Rotation",11.05,"day",0.42,"hr",11.07,"day"
"260",,"PMBA (+V2) Motor Heating",11.07,"day",18.00,"hr",11.82,"day"
"912.11",,"Disable Sunline Rotation",11.97,"day",0.55,"hr",12.00,"day"
"692","HEADER","PMBA +V2 Deployment Operations",12.00,"day",10.85,"hr",12.45,"day"
"877",692,"Synch PMBA Latch Stepper Motor & Perform Flinch Move on PMBA Drive Hinge",12.00,"day",1.00,"hr",12.04,"day"
"307",692,"PMBA (+V2) Wing Release",12.05,"day",0.67,"hr",12.08,"day"
"640",692,"Release OTE LRM GRP-04A/B, PMBA +V2 Wing (BSF SIDE) PMBA (BSF) TO +V2 WING +V1/+V3 LRM",12.05,"day",0.25,"hr",12.06,"day"
"641",692,"Release OTE LRM GRP-06A/B, , PMBA +V2 Wing (BSF SIDE) PMBA (BSF) TO +V2 WING -V1/+V3 LRM",12.07,"day",0.25,"hr",12.08,"day"
"308",692,"PMBA (+V2) Wing First Motion",12.08,"day",0.50,"hr",12.10,"day"
"29",692,"PMBA (+V2) Wing Deployment",12.11,"day",1.30,"hr",12.17,"day"
"726",692,"PMBA (+V2) Wing Latch Sequence",12.17,"day",6.00,"hr",12.42,"day"
"309",692,"PMBA +V2 3-DOR Cup Latch bulk Move (1 of 8) (DEU hold preload, ADU motor move)",12.17,"day",0.50,"hr",12.19,"day"
"310",692,"PMBA +V2 2-DOR Groove Latch bulk Move (2 of 8) (DEU hold preload, ADU motor move)",12.20,"day",0.50,"hr",12.22,"day"
"311",692,"PMBA +V2 3-DOR Cup Latch Terminal Move and Latch (3 of 8) (DEU hold preload, ADU motor move)",12.23,"day",0.50,"hr",12.25,"day"
"312",692,"PMBA +V2 2-DOR Groove Latch Terminal Move and Latch (4 of 8 (DEU hold preload, ADU motor move)",12.26,"day",0.50,"hr",12.28,"day"
"313",692,"PMBA +V2 Top (+V3) 1-DOR Flat bulk Move (5 of 8) (DEU hold preload, ADU motor move)",12.28,"day",0.50,"hr",12.30,"day"
"314",692,"PMBA +V2 Top (+V3) 1-DOR Flat Terminal Move and Latch (6 of 8) (DEU hold preload, ADU motor move)",12.31,"day",0.50,"hr",12.33,"day"
"315",692,"PMBA +V2 Bottom (-V3) 1-DOR Flat bulk Move (7 of 8) (DEU hold preload, ADU motor move)",12.34,"day",0.50,"hr",12.36,"day"
"316",692,"PMBA +V2 Bottom (-V3) 1-DOR Flat Terminal Move and Latch (8 of 8) (DEU hold preload, ADU motor move)",12.37,"day",0.50,"hr",12.39,"day"
"317",692,"Remove PMBA +V2 deployment holding torque (DEU motor move)",12.39,"day",0.25,"hr",12.40,"day"
"332",692,"Back off PMBA +V2 deployment to relieve force at hinge (DEU motor move)",12.41,"day",0.25,"hr",12.42,"day"
"319",692,"Power OFF PMBA (+V2) heaters",12.43,"day",0.30,"hr",12.44,"day"
"318",692,"Command ADU to Operate Mode and inhibit motor moves",12.44,"day",0.25,"hr",12.45,"day"
"911.12",,"Enable Sunline Rotation",12.46,"day",0.42,"hr",12.48,"day"
"259",,"PMBA (-V2) Motor Heating",12.48,"day",18.00,"hr",13.23,"day"
"912.12",,"Disable Sunline Rotation",13.21,"day",0.55,"hr",13.23,"day"
"693","HEADER","PMBA -V2 Deployment Operations",13.23,"day",11.35,"hr",13.71,"day"
"876",693,"Synch PMBA Latch Stepper Motor & Perform Flinch Move on PMBA Drive Hinge",13.23,"day",1.00,"hr",13.28,"day"
"320",693,"PMBA (-V2) Release",13.28,"day",1.33,"hr",13.34,"day"
"646",693,"Release OTE LRM GRP-07A/B, PMBA -V2 Wing (BSF SIDE) PMBA (BSF) TO -V2 WING +V1/+V3 LRM Group = 2",13.28,"day",0.50,"hr",13.30,"day"
"647",693,"Release OTE LRM GRP-08A/B, PMBA -V2 Wing (BSF SIDE) PMBA (BSF) TO -V2 WING -V1/+V3 LRM Group = 2",13.31,"day",0.50,"hr",13.33,"day"
"321",693,"PMBA (-V2) First Motion",13.34,"day",0.50,"hr",13.36,"day"
"322",693,"PMBA (-V2) Deployment",13.37,"day",1.30,"hr",13.42,"day"
"727",693,"PMBA (-V2) Wing Latch Sequence",13.43,"day",6.00,"hr",13.68,"day"
"323",693,"PMBA -V2 3-DOR Cup Latch bulk Move (1 of 8) (DEU hold preload, ADU motor move)",13.43,"day",0.50,"hr",13.45,"day"
"324",693,"PMBA -V2 2-DOR Groove Latch bulk Move (2 of 8) (DEU hold preload, ADU motor move)",13.45,"day",0.50,"hr",13.48,"day"
"325",693,"PMBA -V2 3-DOR Cup Latch Terminal Move and Latch (3 of 8) (DEU hold preload, ADU motor move)",13.48,"day",0.50,"hr",13.50,"day"
"326",693,"PMBA -V2 2-DOR Groove Latch Terminal Move and Latch (4 of 8) (DEU hold preload, ADU motor move)",13.51,"day",0.50,"hr",13.53,"day"
"327",693,"PMBA -V2 Top (+V3) 1-DOR Flat bulk Move (5 of 8) (DEU hold preload, ADU motor move)",13.54,"day",0.50,"hr",13.56,"day"
"328",693,"PMBA -V2 Top (+V3) 1-DOR Flat Terminal Move and Latch (6 of 8) (DEU hold preload, ADU motor move)",13.57,"day",0.50,"hr",13.59,"day"
"329",693,"PMBA -V2 Bottom (-V3) 1-DOR Flat bulk Move (7 of 8) (DEU hold preload, ADU motor move)",13.59,"day",0.50,"hr",13.61,"day"
"330",693,"PMBA -V2 Bottom (-V3) 1-DOR Flat Terminal Move and Latch (8 of 8) (DEU hold preload, ADU motor move)",13.62,"day",0.50,"hr",13.64,"day"
"331",693,"Remove PMBA -V2 deployment holding torque (DEU motor move)",13.65,"day",0.25,"hr",13.66,"day"
"552",693,"Back off PMBA -V2 deployment to relieve force at hinge (DEU motor move)",13.67,"day",0.25,"hr",13.68,"day"
"333",693,"Power OFF PMBA (-V2) heaters",13.68,"day",0.30,"hr",13.70,"day"
"550",693,"Command ADU to Operate Mode and inhibit motor moves",13.70,"day",0.25,"hr",13.71,"day"
"891.13",,"Alarm Limit Transition #13 (Post PMBA Deploy)",13.71,"day",0.08,"hr",13.71,"day"
"916.2",,"Higher Bus Voltage for Deployments",13.72,"day",0.17,"hr",13.72,"day"
"865",,"Reconfigure Cryocooler Knock Trip Thresholds",13.81,"day",0.60,"hr",13.83,"day"
"864",,"ADU Reset & FSM Controller State post 3/4"" NEA Release + Disable FSM Cal",13.84,"day",0.25,"hr",13.85,"day"
"875",,"Enable Sunline Rotation",13.86,"day",0.08,"hr",13.86,"day"
"841",,"Set ACS Control System Gains for Post Deployments",13.93,"day",0.25,"hr",13.94,"day"
"780",,"IRSU MSC Power ON and Configuration",14.00,"day",0.40,"hr",14.02,"day"
"49",,"ACS Calibration (STA)",14.06,"day",6.00,"hr",14.31,"day"
"885",,"COMM Reconfiguration prior to IRU Calibration",14.35,"day",0.25,"hr",14.36,"day"
"892",,"IRU Calibration and Inertia Estimation",14.40,"day",4.00,"hr",14.56,"day"
"892",,"IRU Calibration - Analysis",14.56,"day",5.00,"hr",14.77,"day"
"886",,"COMM Reconfiguration after IRU Calibration",14.77,"day",0.25,"hr",14.78,"day"
"893",,"ACS Calibration (FSS)",14.82,"day",7.00,"hr",15.11,"day"
"861",,"DITCE Power & FSM Initialization",15.15,"day",0.50,"hr",15.18,"day"
"903.1",,"OTE FSM Stability & Spiral Scan",15.18,"day",4.00,"hr",15.35,"day"
"32","OTE-00","PMSAs & SMA Deployment",15.50,"day",235.00,"hr",25.29,"day"
"153",,"OTE Temperature Collection (every 12 hours for 100 days)",15.50,"day",0.17,"hr",15.51,"day"
"18.2",,"MIRI ICE Power ON and Initialization",15.61,"day",0.33,"hr",15.62,"day"
"764.2","MIR-71","MIRI ICE Warm Basic Functional Test",15.72,"day",0.63,"hr",15.75,"day"
"815",,"MIRI FPE Power ON",15.85,"day",0.22,"hr",15.86,"day"
"125.1","MIR-01.1","MIRI Focal Plane System Warm Checkout",15.96,"day",1.28,"hr",16.01,"day"
"756.5","NRS-33","NIRSpec MSA Heater Adjustment #4 during Cooldown",16.05,"day",0.30,"hr",16.06,"day"
"125.1","MIR-01.1","MIRI Focal Plane System Warm Checkout",17.87,"day",0.35,"hr",17.88,"day"
"817","MIR-42.2","MIRI FPM Heater Power ON during Cooldown",17.90,"day",0.39,"hr",17.92,"day"
"37","MIR-42.3","MIRI CCC Closure",22.50,"day",0.35,"hr",22.51,"day"
"887.1","MIR-42.4","Start MIRI POM Cooldown Operations",22.51,"day",0.30,"hr",22.53,"day"
"756.6","NRS-33","NIRSpec MSA Heater Adjustment #5 during Cooldown",23.80,"day",0.30,"hr",23.81,"day"
"14",,"Ka-Band Activation",25.30,"day",1.00,"hr",25.34,"day"
"891.14",,"Alarm Limit Transition #14 (Post Ka-Band Activation)",25.34,"day",0.08,"hr",25.34,"day"
"913.1",,"HGA Calibration 0 (SCSes required to execute over 1 DSN contact)",25.35,"day",9.00,"hr",25.73,"day"
"913.1",,"HGA Calibration 0 - analysis",25.73,"day",16.00,"hr",26.39,"day"
"760","NRS-34","NIRSpec FPE Power ON & ASIC Initialization",25.83,"day",0.83,"hr",25.86,"day"
"761","NRS-36","NIRSpec ICE Power ON",25.96,"day",0.40,"hr",25.98,"day"
"913.2",,"HGA Calibration 0 (Required to execute over 1 DSN contact)",26.39,"day",2.00,"hr",26.48,"day"
"913.2",,"HGA Calibration 0 - analysis",26.48,"day",6.00,"hr",26.73,"day"
"334.1",,"HGA Calibration 1 (SCSes required to execute over 1 DSN contact)",26.73,"day",9.00,"hr",27.10,"day"
"334.1",,"HGA Calibration 1 - analysis",27.10,"day",16.00,"hr",27.77,"day"
"334.2",,"HGA Calibration 1 (Required to execute over 1 DSN contact)",27.77,"day",2.00,"hr",27.85,"day"
"334.2",,"HGA Calibration 1 - analysis",27.85,"day",6.00,"hr",28.10,"day"
"917",,"Nominal Flight Packet List & Filter Tables",28.11,"day",2.00,"hr",28.19,"day"
"50",,"Initial Ka-band PB",28.20,"day",3.00,"hr",28.32,"day"
"55",,"MCC2 (Burn at L+29d)",28.67,"day",10.00,"hr",29.08,"day"
"889",,"OPE Activation without Momentum Monitoring",30.00,"day",0.35,"hr",30.01,"day"
"898",,"Enable JPIM ISIM Overrun Fault Response",30.01,"day",0.08,"hr",30.02,"day"
"125.2","MIR-01.2","MIRI Focal Plane System Warm Checkout",30.02,"day",2.13,"hr",30.11,"day"
"872",,"Stubbing Out Post-Launch SCSs",30.11,"day",0.50,"hr",30.13,"day"
"923",,"EEPROM Load Clean-up",30.13,"day",1.00,"hr",30.17,"day"
"894",,"7M & 14M Ka-Band Rate Characterization",30.17,"day",0.50,"hr",30.19,"day"
"33",,"Disable Autonomous On-board Control of IRSU CCH Zones 1-4",31.65,"day",0.80,"hr",31.68,"day"
"748",,"Solar Torque Calibration",31.68,"day",52.00,"hr",33.85,"day"
"890",,"Enable OPE Momentum Control",33.85,"day",0.18,"hr",33.86,"day"
"820","NIS-00","NIRISS Power ON",33.86,"day",0.20,"hr",33.87,"day"
"340","NIS-01 ","NIRISS Initialization",33.87,"day",0.45,"hr",33.88,"day"
"852","FGS-00","FGS Power ON",33.88,"day",0.26,"hr",33.90,"day"
"151","FGS-01","FGS Initialization",33.90,"day",0.73,"hr",33.93,"day"
"756.7","NRS-33","NIRSpec MSA Heater Deactivation after Cooldown",34.95,"day",0.16,"hr",34.96,"day"
"95","NRS-04","NIRSpec Detector System checkout",34.96,"day",1.01,"hr",35.00,"day"
"926",,"OSS RAM Update (Load 8.3)",35.00,"day",1.50,"hr",35.06,"day"
"47","NRC-01","NIRCam Power ON",35.76,"day",0.52,"hr",35.78,"day"
"56","NRC-02","NIRCam Initialization",35.78,"day",2.86,"hr",35.90,"day"
"58.1","NRC-03","NIRCam Initial Functional Check",35.90,"day",2.97,"hr",36.02,"day"
"58.1","NRC-03","NIRCam Initial Function Check - Analysis",36.02,"day",8.00,"hr",36.36,"day"
"170.1",,"Momentum Unload  (if needed)",36.21,"day",3.48,"hr",36.36,"day"
"66","OTE-01","Initial Image Mosaic",36.36,"day",35.72,"hr",37.85,"day"
"66","OTE-01","Initial Image Mosaic - Analysis",37.85,"day",9.00,"hr",38.22,"day"
"849",,"Load IRSU CCH Parameter Set 8",37.99,"day",0.48,"hr",38.01,"day"
"176","OTE-02","STA-FGS Alignment Matrix Update 1 (for DTA Deploy Errors)",38.22,"day",1.52,"hr",38.28,"day"
"176","OTE-02","STA-FGS Alignment Matrix Update 1 (for DTA Deploy Errors) - Analysis",38.28,"day",5.50,"hr",38.51,"day"
"58.2","NRC-03","NIRCam Initial Functional Check",38.51,"day",1.73,"hr",38.59,"day"
"135",,"Cryocooler Transition to State 3 (Precooler Cooldown)",38.59,"day",0.43,"hr",38.60,"day"
"899.1","NRC-35","NIRCam Ice Measurement (pre FSM power-off)",40.70,"day",2.95,"hr",40.82,"day"
"899.1","NRC-35","NIRCam Ice Meausuremnt - Analysis",40.82,"day",8.00,"hr",41.16,"day"
"814",,"CAM for FSM Heater Power OFF",41.16,"day",1.00,"hr",41.20,"day"
"814",,"FSM Heater Power OFF",41.20,"day",0.27,"hr",41.21,"day"
"895.1",,"Final HGA Calibration",41.50,"day",9.00,"hr",41.88,"day"
"895.1",,"Final HGA Calibration - Analysis",41.88,"day",16.00,"hr",42.54,"day"
"341","NIS-02","NIRISS Aliveness and Functional Tests",41.88,"day",2.20,"hr",41.97,"day"
"162","FGS-02","FGS  Aliveness and Functional Tests",41.97,"day",1.75,"hr",42.04,"day"
"895.2",,"Final HGA Calibration",42.54,"day",2.00,"hr",42.63,"day"
"895.2",,"Final HGA Calibration - Analysis",42.63,"day",6.00,"hr",42.88,"day"
"899.2","NRC-35","NIRCam Ice Measurement",43.00,"day",1.15,"hr",43.05,"day"
"175","OTE-03","Secondary Mirror Focus Sweep",44.13,"day",5.40,"hr",44.36,"day"
"175","OTE-03","Secondary Mirror Focus Sweep - Analysis ",44.36,"day",11.50,"hr",44.83,"day"
"174","OTE-04","Segment Identification ",44.83,"day",8.87,"hr",45.20,"day"
"850",,"Load IRSU CCH Parameter Set 9",44.88,"day",0.48,"hr",44.90,"day"
"174","OTE-04","Segment Identification  - Analysis",45.20,"day",29.67,"hr",46.44,"day"
"755","NRS-37","NIRSpec MCE Initialization",45.40,"day",2.03,"hr",45.48,"day"
"82","NRS-02","NIRSpec MSS Launch Lock Release and Magnet Arm Functional Verification",45.54,"day",0.59,"hr",45.56,"day"
"858","MIR-42.5","MIRI FPM Heater 1st Adjustment",46.13,"day",0.39,"hr",46.15,"day"
"MILESTONE",,"Segment ID Complete ",46.44,"day",0.00,"hr",46.44,"day"
"177","OTE-05","STA-FGS Alignment Matrix Update 2 (for Segment Deploy Errors)",46.44,"day",1.52,"hr",46.50,"day"
"177","OTE-05","STA-FGS Alignment Matrix Update 2 - Analysis",46.50,"day",5.50,"hr",46.73,"day"
"170.2",,"Momentum Unload (if needed)",46.59,"day",3.48,"hr",46.73,"day"
"171","OTE-06","Segment Image Array 1",46.73,"day",5.48,"hr",46.96,"day"
"171","OTE-06","Segment Image Array 1 - Analysis",46.96,"day",11.50,"hr",47.44,"day"
"899.3","NRC-35","NIRCam Ice Measurement",47.44,"day",3.50,"hr",47.59,"day"
"862.1",,"Stationkeeping maneuver",49.00,"day",3.33,"hr",49.14,"day"
"840","LOS-02","ACS Fine Guidance Control Verification",49.47,"day",2.50,"hr",49.57,"day"
"840","LOS-02","ACS Fine Guidance Control Verification - Analysis",49.57,"day",5.00,"hr",49.78,"day"
"MILESTONE",,"First Closed Loop Guiding",49.78,"day",0.00,"hr",49.78,"day"
"172","OTE-07","Global Alignment 1",49.78,"day",12.43,"hr",50.30,"day"
"172","OTE-07","Global Alignment 1 - Analysis",50.30,"day",27.50,"hr",51.45,"day"
"343","NIS-04 ","NIRISS Pupil Wheel Calibration",50.30,"day",1.71,"hr",50.37,"day"
"343","NIS-04 ","NIRSS Pupil Wheel Calibration - Ground Analysis",50.37,"day",12.00,"hr",50.87,"day"
"899.4","NRC-35","NIRCam Ice Measurement",50.37,"day",1.16,"hr",50.42,"day"
"344","NIS-05","NIRISS Filter Wheel Calibration",50.87,"day",1.84,"hr",50.95,"day"
"344","NIS-05","NIRSS Filter Wheel Calibration - Ground Analysis",50.95,"day",24.00,"hr",51.95,"day"
"178","OTE-08","STA-FGS Alignment Matrix Update 3 (for GA Boresight Shift)",51.45,"day",1.54,"hr",51.51,"day"
"178","OTE-08","STA-FGS Alignment Matrix Update 3 (for GA Boresight Shift) - Analysis",51.51,"day",5.75,"hr",51.75,"day"
"194","OTE-09","Image Stacking 1",51.75,"day",12.50,"hr",52.27,"day"
"194","OTE-09","Image Stacking 1 - Analysis",52.27,"day",45.00,"hr",54.15,"day"
"899.5","NRC-35","NIRCam Ice Measurement",53.61,"day",1.15,"hr",53.66,"day"
"773.1","NRC-04","NIRCam Short Wave Pupil Wheel Tuning  (Initial FAM check)",54.15,"day",2.33,"hr",54.24,"day"
"773.1","NRC-04","NIRCam Short Wave Pupil Wheel Tuning  (Initial FAM check) - Analysis",54.24,"day",3.00,"hr",54.37,"day"
"773.2","NRC-04","NIRCam Short Wave Pupil Wheel Tuning  (FAM Adjustment)",54.37,"day",2.43,"hr",54.47,"day"
"773.2","NRC-04","NIRCam Short Wave Pupil Wheel Tuning  (FAM Adjustment) - Analysis",54.47,"day",4.00,"hr",54.64,"day"
"35",,"Disable Autonomous On-board Control of IRSU CCH Zone 5",54.55,"day",0.52,"hr",54.57,"day"
"855",,"Re-Enable IRSU CCH Zone 5",54.57,"day",0.35,"hr",54.59,"day"
"851",,"IRSU FM Overcurrent Limit Adjustment",54.59,"day",0.33,"hr",54.60,"day"
"181.1","OTE-10","SIAF PRD and Onboard Updates for NIRCam and FGS",54.64,"day",4.55,"hr",54.83,"day"
"181.1","OTE-10","SIAF PRD and Onboard Updates for NIRCam and FGS - Analysis",54.83,"day",43.00,"hr",56.62,"day"
"853","OTE-11","SIAF PRD Update for NIRISS",54.83,"day",2.70,"hr",54.94,"day"
"853","OTE-11","SIAF PRD Update for NIRISS - Analysis",54.94,"day",39.00,"hr",56.56,"day"
"773.3","NRC-04","NIRCam Short Wave  Pupil Wheel Tuning  (SW PW Alignment Check)",54.94,"day",8.43,"hr",55.29,"day"
"773.3","NRC-04","NIRCam Short Wave  Pupil Wheel Tuning  (SW PW Alignment Check) - Analysis",55.29,"day",7.00,"hr",55.58,"day"
"776",,"Enable IRSU Master Trim Heater Control",55.29,"day",0.22,"hr",55.30,"day"
"779",,"Set IRSU Trim Heater Power for NIRSpec FPA",55.30,"day",0.22,"hr",55.31,"day"
"773.4","NRC-04","NIRCam Short Wave  Pupil Wheel Tuning  (WLP4 Alignment Check)",55.58,"day",2.90,"hr",55.70,"day"
"773.4","NRC-04","NIRCam Short Wave  Pupil Wheel Tuning  (WLP4 Alignment Check) - analysis",55.70,"day",2.00,"hr",55.78,"day"
"773.5","NRC-04","NIRCam Short Wave  Pupil Wheel Tuning  (Final Alignment Checks)",55.78,"day",3.52,"hr",55.93,"day"
"773.5","NRC-04","NIRCam Short Wave  Pupil Wheel Tuning  (Final Alignment Checks) - analysis",55.93,"day",5.00,"hr",56.14,"day"
"370",,"IRU Calibration 2",55.93,"day",4.00,"hr",56.10,"day"
"370",,"IRU Calibration 2 - Analysis",56.10,"day",5.00,"hr",56.31,"day"
"762","NRS-40","NIRSpec FPA Heater Control",56.30,"day",0.23,"hr",56.31,"day"
"222.1","NRS-03","NIRSpec SCA+ASIC Tuning Verification",56.31,"day",1.82,"hr",56.38,"day"
"181.2","OTE-10","SIAF PRD and Onboard Updates for NIRCam and FGS",56.62,"day",2.23,"hr",56.71,"day"
"181.2","OTE-10","SIAF PRD and Onboard Updates for NIRCam and FGS - Analysis",56.71,"day",1.00,"hr",56.75,"day"
"899.6","NRC-35","NIRCam Ice Measurement",56.71,"day",1.15,"hr",56.76,"day"
"60","NRC-05","NIRCam Pre-Coarse Phasing Verification",56.76,"day",11.38,"hr",57.23,"day"
"60","NRC-05","NIRCam Pre-Coarse Phasing Verification - Analysis",57.23,"day",12.50,"hr",57.75,"day"
"853.2","OTE-11","SIAF PRD Update for NIRISS",57.23,"day",1.16,"hr",57.28,"day"
"853.2","OTE-11","SIAF PRD Update for NIRISS - Analysis",57.28,"day",1.00,"hr",57.32,"day"
"137","NRS-12","NIRSpec ICE Initialization and Calibration Assembly Checkout",57.28,"day",1.72,"hr",57.35,"day"
"106","NRS-28","NIRSpec FWA checkout",57.35,"day",8.30,"hr",57.70,"day"
"223","NRS-09","NIRSpec RMA Checkout and Move to Mid-Position",57.70,"day",0.50,"hr",57.72,"day"
"766","NRS-10","NIRSpec RMA Characterization",57.72,"day",0.59,"hr",57.74,"day"
"107","NRS-29","NIRSpec GWA checkout",57.74,"day",2.58,"hr",57.85,"day"
"157","OTE-12","Coarse Phasing 1",57.85,"day",8.48,"hr",58.20,"day"
"157","OTE-12","Coarse Phasing 1 - Analysis",58.20,"day",11.50,"hr",58.68,"day"
"159","NRS-14","NIRSpec MSA Electrical Shorts Detection",58.20,"day",3.89,"hr",58.37,"day"
"159","NRS-14","NIRSpec MSA Electrical Shorts Detection - Ground Analysis",58.37,"day",37.00,"hr",59.91,"day"
"156","OTE-13","NIRCam-only Coarse MIMF",58.68,"day",24.97,"hr",59.72,"day"
"156","OTE-13","NIRCam-only Coarse MIMF - Analysis",59.72,"day",73.50,"hr",62.79,"day"
"881","NRS-43","NIRSpec MSA Optical Shorts Identification and Masking",59.91,"day",2.53,"hr",60.01,"day"
"881","NRS-43","NIRSpec MSA Optical Shorts Identification and Masking - Analysis ",60.01,"day",48.00,"hr",62.01,"day"
"152","NRS-15","NIRSpec MSA Performance and Geometry Characterization",62.01,"day",4.28,"hr",62.19,"day"
"887.2","MIR-42.6","End MIRI POM Cooldown Operations",62.19,"day",0.25,"hr",62.20,"day"
"222.2","NRS-03","NIRSpec SCA+ASIC Tuning Verification",62.20,"day",1.62,"hr",62.27,"day"
"96.1","NRS-21","NIRSpec Full Frame Darks and Super-Bias",62.27,"day",4.83,"hr",62.47,"day"
"96.2","NRS-21","NIRSpec Full Frame Darks and Super-Bias",62.47,"day",4.83,"hr",62.67,"day"
"179","OTE-14","STA-FGS Alignment Matrix Update 4 (for Coarse MIMF)",62.79,"day",1.43,"hr",62.85,"day"
"179","OTE-14","STA-FGS Alignment Matrix Update 4 (for Coarse MIMF) - Analysis",62.85,"day",5.50,"hr",63.07,"day"
"170.3",,"Momentum Unload (if needed)",62.91,"day",3.48,"hr",63.05,"day"
"188","OTE-15.1","Segment Image Array 2",63.07,"day",2.62,"hr",63.18,"day"
"188","OTE-15.1","Segment Image Array 2 - Analysis",63.18,"day",10.00,"hr",63.60,"day"
"96.3","NRS-21","NIRSpec Full Frame Darks and Super-Bias",63.18,"day",4.83,"hr",63.39,"day"
"96.4","NRS-21","NIRSpec Full Frame Darks and Super-Bias",63.39,"day",4.83,"hr",63.59,"day"
"185","OTE-16.1","Global Alignment 2",63.60,"day",13.56,"hr",64.17,"day"
"185","OTE-16.1","Global Alignment 2 - Analysis",64.17,"day",35.00,"hr",65.62,"day"
"96.5","NRS-21","NIRSpec Full Frame Darks and Super-Bias",64.17,"day",3.42,"hr",64.31,"day"
"96.6","NRS-21","NIRSpec Full Frame Darks and Super-Bias",64.31,"day",4.83,"hr",64.51,"day"
