" JWST June 2021 Working Commissioning Timeline ",,,,,,,,
"96.7","NRS-21","NIRSpec Full Frame Darks and Super-Bias",64.51,"day",4.83,"hr",64.71,"day"
"96.8","NRS-21","NIRSpec Full Frame Darks and Super-Bias",64.71,"day",4.83,"hr",64.91,"day"
"96.9","NRS-21","NIRSpec Full Frame Darks and Super-Bias",64.91,"day",4.83,"hr",65.11,"day"
"96.10","NRS-21","NIRSpec Full Frame Darks and Super-Bias",65.11,"day",3.43,"hr",65.26,"day"
"173","OTE-17.1","Image Stacking 2 ",65.62,"day",3.24,"hr",65.76,"day"
"173","OTE-17.1","Image Stacking 2 - Analysis",65.76,"day",6.00,"hr",66.01,"day"
"96.11","NRS-21","NIRSpec Full Frame Darks and Super-Bias",65.76,"day",4.83,"hr",65.96,"day"
"67","OTE-18.1","Fine Phasing 1",66.01,"day",11.55,"hr",66.49,"day"
"67","OTE-18.1","Fine Phasing 1 - Analysis",66.49,"day",17.00,"hr",67.20,"day"
"96.12","NRS-21","NIRSpec Full Frame Darks and Super-Bias",66.49,"day",4.83,"hr",66.69,"day"
"96.13","NRS-21","NIRSpec Full Frame Darks and Super-Bias",66.69,"day",4.83,"hr",66.89,"day"
"899.7","NRC-35","NIRCam Ice Measurement",66.89,"day",1.15,"hr",66.94,"day"
"186","OTE-19.1","Coarse Phasing 2",67.20,"day",5.33,"hr",67.42,"day"
"186","OTE-19.1","Coarse Phasing 2 - Analysis",67.42,"day",8.50,"hr",67.77,"day"
"96.14","NRS-21","NIRSpec Full Frame Darks and Super-Bias",67.42,"day",4.83,"hr",67.62,"day"
"96.15","NRS-21","NIRSpec Full Frame Darks and Super-Bias",67.62,"day",3.42,"hr",67.76,"day"
"189","OTE-21.1","Fine Phasing 2",67.77,"day",11.93,"hr",68.27,"day"
"189","OTE-21.1","Fine Phasing 2 - Analysis",68.27,"day",21.00,"hr",69.15,"day"
"96.16","NRS-21","NIRSpec Full Frame Darks and Super-Bias",68.27,"day",4.83,"hr",68.47,"day"
"96.17","NRS-21","NIRSpec Full Frame Darks and Super-Bias",68.47,"day",4.83,"hr",68.67,"day"
"96.18","NRS-21","NIRSpec Full Frame Darks and Super-Bias",68.67,"day",4.83,"hr",68.88,"day"
"190","OTE-22.1","Coarse Phasing 3",69.15,"day",8.07,"hr",69.48,"day"
"190","OTE-22.1","Coarse Phasing 3 - Analysis",69.48,"day",10.00,"hr",69.90,"day"
"96.19","NRS-21","NIRSpec Full Frame Darks and Super-Bias",69.48,"day",4.83,"hr",69.68,"day"
"862.2",,"Stationkeeping maneuver",69.68,"day",3.33,"hr",69.82,"day"
"191","OTE-23.1","Fine Phasing 3",69.90,"day",8.65,"hr",70.26,"day"
"191","OTE-23.1","Fine Phasing 3 - Analysis",70.26,"day",10.17,"hr",70.68,"day"
"96.20","NRS-21","NIRSpec Full Frame Darks and Super-Bias",70.26,"day",3.42,"hr",70.40,"day"
"192.1","OTE-25.1","NIRCam Multi-Field Monitor",70.68,"day",13.73,"hr",71.26,"day"
"269.1","OTE-27","SIAF PRD Update for NIRSpec",71.26,"day",3.90,"hr",71.42,"day"
"269.1","OTE-27","SIAF PRD Update for NIRSpec - Analysis",71.42,"day",39.00,"hr",73.04,"day"
"903.2",,"OTE FSM Stablity and Spiral Scan",71.42,"day",1.95,"hr",71.50,"day"
"96.21","NRS-21","NIRSpec Full Frame Darks and Super-Bias",71.50,"day",21.63,"hr",72.40,"day"
"102.1","NRC-09","NIRCam Darks",72.40,"day",0.70,"hr",72.43,"day"
"269.2","OTE-27","SIAF PRD Update for NIRSpec",73.04,"day",1.41,"hr",73.10,"day"
"269.2","OTE-27","SIAF PRD Update for NIRSpec - Analysis",73.10,"day",1.00,"hr",73.14,"day"
"193","OTE-28.1","Pre-MIMF In-Focus PSF Check",73.14,"day",6.47,"hr",73.41,"day"
"193","OTE-28.1","Pre-MIMF In-Focus PSF Check - Analysis",73.41,"day",30.00,"hr",74.66,"day"
"71.1","OTE-26","WFSC Routine/CC Jitter Maintenance ",73.42,"day",2.08,"hr",73.50,"day"
"71.1","OTE-26","WFSC Routine/CC Jitter Maintenance  - Analysis",73.50,"day",2.00,"hr",73.59,"day"
"801","FGS-06","Medium Angle Maneuvers",73.59,"day",2.58,"hr",73.69,"day"
"759","FGS-19","Fuel Slosh LOS Characterization ",73.69,"day",5.45,"hr",73.92,"day"
"170.4",,"Momentum Unload",74.52,"day",3.48,"hr",74.66,"day"
"925",,"MRE Calibration and CG Estimation (in parallel with MU)",74.52,"day",3.48,"hr",74.66,"day"
"68","OTE-29.1","MIMF Measurement 1",74.66,"day",39.40,"hr",76.31,"day"
"68","OTE-29.1","MIMF Measurement 1 - Analysis",76.31,"day",52.00,"hr",78.47,"day"
"899.8","NRC-35","NIRCam Ice Measurement (w/ NIRSpec) - Pre transition to state 4",77.00,"day",1.57,"hr",77.07,"day"
"899.8","NRC-35","NIRCam Ice Measurement - Ground Analysis",77.07,"day",10.00,"hr",77.48,"day"
"192.2","OTE-25.2","NIRCam Multi-Field Monitor",77.07,"day",13.73,"hr",77.64,"day"
"133.1",,"CAM for Cryocooler Transition to State 4",77.48,"day",1.00,"hr",77.52,"day"
"170.5",,"Momentum Unload (if needed)",77.60,"day",3.48,"hr",77.74,"day"
"803.1","OTE-24","Cryocooler Jitter Measurements  (Pre State 4) ",77.74,"day",2.35,"hr",77.84,"day"
"133.1",,"Cryocooler Transition to State 4 (JT Bypass Cooldown)",77.84,"day",37.15,"hr",79.39,"day"
"803.2","OTE-24","Cryocooler Jitter Measurements  (Post State 4) ",79.39,"day",13.27,"hr",79.94,"day"
"71.2","OTE-26","WFSC Routine/CC Jitter Maintenance ",79.95,"day",2.08,"hr",80.03,"day"
"71.2","OTE-26","WFSC Routine/CC Jitter Maintenance  - Analysis",80.03,"day",2.00,"hr",80.12,"day"
"867.1","NRC-16","NIRCam Post-MIMF Focus Adjustment",80.04,"day",2.37,"hr",80.14,"day"
"868.1","NIS-32","NIRISS Post-MIMF Focus Adjustment",80.14,"day",1.20,"hr",80.19,"day"
"869.1","NRS-20","NIRSpec Post-MIMF Focus Adjustment",80.19,"day",0.21,"hr",80.20,"day"
"870.1","FGS-18","FGS Post-MIMF Focus Adjustment",80.20,"day",1.13,"hr",80.25,"day"
"356","OTE-31.1","MIMF Correction 1",80.25,"day",2.22,"hr",80.34,"day"
"356","OTE-31.1","MIMF Correction 1 - Analysis",80.34,"day",2.00,"hr",80.42,"day"
"354","OTE-32.1","STA-FGS Alignment Matrix Update 5 (for MIMF Correction)",80.42,"day",1.36,"hr",80.48,"day"
"354","OTE-32.1","STA-FGS Alignment Matrix Update 5 (for MIMF Correction) - Analysis",80.48,"day",5.50,"hr",80.71,"day"
"900",,"Set IRSU Trim Heater Power for NIRSpec OA ",80.53,"day",0.22,"hr",80.54,"day"
"69.1","OTE-15.2","MIMF Recovery 1: Segment Image Array 3",80.71,"day",2.62,"hr",80.82,"day"
"69.1","OTE-15.2","MIMF Recovery 1: Segment Image Array 3 - Analysis",80.82,"day",8.83,"hr",81.19,"day"
"778",,"Set IRSU Trim Heater Power for NIRCam OA",80.87,"day",0.22,"hr",80.88,"day"
"69.2","OTE-16.2","MIMF Recovery 1: Global Alignment 2",81.19,"day",13.56,"hr",81.75,"day"
"69.2","OTE-16.2","MIMF Recovery 1: Global Alignment 2 - Analysis",81.75,"day",35.00,"hr",83.21,"day"
"785.1","NRC-06","NIRCam FPA Temperature Control",81.80,"day",0.55,"hr",81.82,"day"
"69.3","OTE-17.2","MIMF Recovery 1: Image Stacking 3",83.21,"day",3.24,"hr",83.34,"day"
"69.3","OTE-17.2","MIMF Recovery 1: Image Stacking 3 - Analysis",83.34,"day",6.00,"hr",83.59,"day"
"785.2","NRC-06","NIRCam FPA Temperature Control",84.00,"day",0.45,"hr",84.02,"day"
"767","NRS-41","NIRSpec Instrument Model Verification and GWA Tilt Sensor Calibration ",84.96,"day",20.00,"hr",85.79,"day"
"767","NRS-41","NIRSpec Instrument Model Verification and GWA Tilt Sensor Calibration  - Analysis",85.79,"day",72.00,"hr",88.79,"day"
"69.4","OTE-18.2","MIMF Recovery 1: Fine Phasing 4",85.89,"day",11.55,"hr",86.37,"day"
"69.4","OTE-18.2","MIMF Recovery 1: Fine Phasing 4  - Analysis",86.37,"day",14.00,"hr",86.95,"day"
"108.1","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",86.37,"day",4.39,"hr",86.55,"day"
"108.2","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",86.55,"day",3.73,"hr",86.71,"day"
"859","MIR-42.7","MIRI FPM Heater 2nd Adjustment",86.71,"day",0.39,"hr",86.72,"day"
"108.3","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",86.72,"day",4.25,"hr",86.90,"day"
"69.5","OTE-19.2","MIMF Recovery 1: Coarse Phasing 4",86.95,"day",5.33,"hr",87.17,"day"
"69.5","OTE-19.2","MIMF Recovery 1: Coarse Phasing 4 - Analysis",87.17,"day",8.50,"hr",87.53,"day"
"102.2","NRC-09","NIRCam Darks",87.17,"day",4.92,"hr",87.38,"day"
"102.3","NRC-09","NIRCam Darks",87.38,"day",4.18,"hr",87.55,"day"
"69.6","OTE-21.2","MIMF Recovery 1: Fine Phasing 5",87.56,"day",11.93,"hr",88.05,"day"
"69.6","OTE-21.2","MIMF Recovery 1: Fine Phasing 5 - Analysis",88.05,"day",20.00,"hr",88.89,"day"
"108.4","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",88.05,"day",3.73,"hr",88.21,"day"
"108.5","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",88.21,"day",4.39,"hr",88.39,"day"
"108.6","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",88.39,"day",4.86,"hr",88.59,"day"
"777",,"IRSU Trim Heater Enable - FGS & NIRISS",88.59,"day",0.22,"hr",88.60,"day"
"102.4","NRC-09","NIRCam Darks",88.60,"day",5.16,"hr",88.82,"day"
"69.7","OTE-22.2","MIMF Recovery 1: Coarse Phasing 5",88.89,"day",7.23,"hr",89.19,"day"
"69.7","OTE-22.2","MIMF Recovery 1: Coarse Phasing 5 - Analysis",89.19,"day",10.00,"hr",89.60,"day"
"108.7","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",89.19,"day",4.39,"hr",89.37,"day"
"108.8","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",89.37,"day",4.25,"hr",89.55,"day"
"757","NIS-24","NIRISS FPA Heater ON ",89.55,"day",0.40,"hr",89.57,"day"
"69.8","OTE-23.2","MIMF Recovery 1: Fine Phasing 6",89.60,"day",6.98,"hr",89.89,"day"
"69.8","OTE-23.2","MIMF Recovery 1: Fine Phasing 6 - Analysis",89.89,"day",10.00,"hr",90.31,"day"
"345.1","NIS-06","NIRISS Darks",89.89,"day",4.81,"hr",90.09,"day"
"345.1","NIS-06","NIRISS Darks - Analysis ",90.09,"day",24.00,"hr",91.09,"day"
"860","MIR-42.8","MIRI FPM Heater 3rd Adjustment ",90.09,"day",0.43,"hr",90.11,"day"
"862.3",,"Stationkeeping maneuver",90.11,"day",3.33,"hr",90.25,"day"
"69.9","OTE-25.3","MIMF Recovery 1: NIRCam Multi-Field Monitor 3",90.31,"day",13.73,"hr",90.88,"day"
"108.9","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",90.88,"day",3.73,"hr",91.04,"day"
"345.2","NIS-06","NIRISS Darks",91.04,"day",12.58,"hr",91.56,"day"
"102.5","NRC-09","NIRCam Darks",91.56,"day",5.16,"hr",91.78,"day"
"763.1","NRS-39","NIRSpec Subarray Darks and Super-Bias",91.78,"day",15.33,"hr",92.42,"day"
"345.3","NIS-06","NIRISS Darks",92.42,"day",12.58,"hr",92.94,"day"
"818","MIR-42.9","MIRI FPM Heater Power OFF ",92.43,"day",0.33,"hr",92.44,"day"
"133.2",,"Cryocooler (CCE) Transition to State 4 (JT Bypass Cooldown)",92.44,"day",0.45,"hr",92.46,"day"
"71.3","OTE-26","WFSC Routine/CC Jitter Maintenance ",92.94,"day",2.13,"hr",93.03,"day"
"71.3","OTE-26","WFSC Routine/CC Jitter Maintenance  - Analysis",93.03,"day",2.00,"hr",93.12,"day"
"102.6","NRC-09","NIRCam Darks",93.12,"day",3.84,"hr",93.28,"day"
"134.1",,"Cryocooler Transition to State 5 (Pinch Point)",93.28,"day",18.15,"hr",94.04,"day"
"768","NRS-24","NIRSpec Internal Subarray Flat Fields",94.04,"day",2.38,"hr",94.14,"day"
"764.3","MIR-71","MIRI ICE Basic Functional Test",94.16,"day",1.02,"hr",94.20,"day"
"117","MIR-40","MIRI Mechanism Characterization",94.20,"day",27.40,"hr",95.34,"day"
"71.4","OTE-26","WFSC Routine/CC Jitter Maintenance ",95.35,"day",2.13,"hr",95.44,"day"
"71.4","OTE-26","WFSC Routine/CC Jitter Maintenance  - Analysis",95.44,"day",2.00,"hr",95.52,"day"
"118","MIR-41","MIRI Pick-Off Mirror Characterization ",95.44,"day",0.93,"hr",95.48,"day"
"118","MIR-41"," MIRI Pick-Off Mirror Characterization  - Analysis",95.48,"day",3.00,"hr",95.60,"day"
"102.7","NRC-09","NIRCam Darks",95.48,"day",3.86,"hr",95.64,"day"
"134.2",,"Cryocooler Transition to State 5 (Pinch Point)",95.64,"day",4.61,"hr",95.84,"day"
"126","MIR-02","MIRI Focal Plane System Cold Checkout",95.71,"day",2.90,"hr",95.84,"day"
"74.1","MIR-05","MIRI Detector Anneal (First Instance)",95.84,"day",6.16,"hr",96.09,"day"
"136",,"Cryocooler Transition to State 6 (Steady State)",96.09,"day",0.75,"hr",96.12,"day"
"136",,"Cryocooler Transition to State 6 (Steady State) - dwell",96.12,"day",15.00,"hr",96.75,"day"
"763.2","NRS-39","NIRSpec Subarray Darks and Super-Bias",96.26,"day",3.29,"hr",96.40,"day"
"108.10","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",96.40,"day",7.84,"hr",96.73,"day"
"73","MIR-04","MIRI Calibration Lamp Operation ",96.75,"day",3.48,"hr",96.89,"day"
"74.2","MIR-05","MIRI Detector Anneal",96.89,"day",3.78,"hr",97.05,"day"
"71.5","OTE-26","WFSC Routine/CC Jitter Maintenance ",97.05,"day",2.13,"hr",97.14,"day"
"71.5","OTE-26","WFSC Routine/CC Jitter Maintenance  - Analysis",97.14,"day",2.00,"hr",97.22,"day"
"115","MIR-14","MIRI Read Noise and Dark Current",97.14,"day",2.13,"hr",97.23,"day"
"924.1","MIR-65","FPS Frame Resets and RSCD Characterization",97.23,"day",3.09,"hr",97.36,"day"
"924.1","MIR-65","FPS Frame Resets and RSCD Characterization -analysis",97.36,"day",4.00,"hr",97.52,"day"
"170.6",,"Momentum Unload",97.36,"day",3.48,"hr",97.50,"day"
"804","OTE-33","Cryocooler Jitter Measurements 2:  Image Motion Assessment",97.50,"day",1.35,"hr",97.56,"day"
"804","OTE-33","Cryocooler Jitter Measurements 2:  Image Motion Assessment - analysis",97.56,"day",4.00,"hr",97.73,"day"
"924.2","MIR-65","FPS Frame Resets and RSCD Characterization",97.56,"day",3.09,"hr",97.69,"day"
"924.2","MIR-65","FPS Frame Resets and RSCD Characterization -analysis",97.69,"day",4.00,"hr",97.85,"day"
"805","OTE-33","Cryo-Cooler Jitter Measurements 2:  Frequency Sweep",97.73,"day",3.22,"hr",97.86,"day"
"805","OTE-33","Cryo-Cooler Jitter Measurements 2:  Frequency Sweep - analysis",97.86,"day",4.00,"hr",98.03,"day"
"899.9","NRC-35","NIRCam Ice Measurement (w/ NIRSpec) ",97.86,"day",1.57,"hr",97.93,"day"
"763.3","NRS-39","NIRSpec Subarray Darks and Super-Bias",97.93,"day",3.29,"hr",98.06,"day"
"805","OTE-33","Cryo-Cooler Jitter Measurements 2:  Frequency Sweep Commanding",98.06,"day",0.33,"hr",98.07,"day"
"139","MIR-60","MIRI Detector Functionality",98.07,"day",4.14,"hr",98.24,"day"
"74.3","MIR-05","MIRI Detector Anneals",98.24,"day",1.46,"hr",98.31,"day"
"765 ",,"MIRI CCC Opening 2 ",98.31,"day",0.30,"hr",98.32,"day"
"270.1","OTE-34","SIAF PRD Update for MIRI",98.32,"day",3.94,"hr",98.48,"day"
"270.1","OTE-34","SIAF PRD Update for MIRI - Analysis ",98.48,"day",39.00,"hr",100.11,"day"
"904","MIRI-80","MIRI JT Assisted Anneal Recovery",98.48,"day",3.33,"hr",98.62,"day"
"345.4","NIS-06","NIRISS Darks",98.62,"day",15.05,"hr",99.25,"day"
"71.6","OTE-26","WFSC Routine/CC Jitter Maintenance ",99.25,"day",2.13,"hr",99.34,"day"
"71.6","OTE-26","WFSC Routine/CC Jitter Maintenance  - Analysis",99.34,"day",2.00,"hr",99.42,"day"
"102.8","NRC-09","NIRCam Darks",99.34,"day",1.18,"hr",99.39,"day"
"763.4","NRS-39","NIRSpec Subarray Darks and Super-Bias",99.39,"day",4.98,"hr",99.60,"day"
"108.11","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",99.60,"day",4.86,"hr",99.80,"day"
"102.9","NRC-09","NIRCam Darks",99.80,"day",1.18,"hr",99.85,"day"
"345.5","NIS-06","NIRISS Darks",99.85,"day",5.00,"hr",100.06,"day"
"270.2","OTE-34","SIAF PRD Update for MIRI",100.11,"day",1.16,"hr",100.16,"day"
"69.10","OTE-28.2","MIMF Recovery 1: Pre-MIMF In-Focus PSF Check 2",100.20,"day",9.92,"hr",100.61,"day"
"69.10","OTE-28.2","MIMF Recovery 1: Pre-MIMF In-Focus PSF Check 2 - Analysis",100.61,"day",30.00,"hr",101.86,"day"
"352","OTE-35","MIRI Pupil Alignment Check",100.61,"day",0.95,"hr",100.65,"day"
"352","OTE-35","MIRI Pupil Alignment Check - Analysis",100.65,"day",10.00,"hr",101.07,"day"
"345.6","NIS-06","NIRISS Darks",100.65,"day",5.40,"hr",100.87,"day"
"71.7","OTE-26","WFSC Routine/CC Jitter Maintenance ",101.07,"day",2.13,"hr",101.16,"day"
"71.7","OTE-26","WFSC Routine/CC Jitter Maintenance  - Analysis",101.16,"day",2.00,"hr",101.24,"day"
"346","NIS-07","NIRISS Calibration Lamps Verification",101.16,"day",2.28,"hr",101.25,"day"
"347","NIS-08","NIRISS Internal Flat Fields",101.25,"day",4.08,"hr",101.42,"day"
"97","FGS-10","FGS-Guider Internal Lamp Flat Field",101.42,"day",6.87,"hr",101.71,"day"
"170.7",,"Momentum Unload (if needed)",101.71,"day",3.48,"hr",101.85,"day"
"84","OTE-29.2","MIMF Measurement 2 ",101.86,"day",45.68,"hr",103.76,"day"
"84","OTE-29.2","MIMF Measurement 2  - Analysis",103.76,"day",48.00,"hr",105.76,"day"
"192.3","OTE-25.4","NIRCam Multi-Field Monitor 4",103.76,"day",13.73,"hr",104.34,"day"
"763.6","NRS-39","NIRSpec Subarray Darks and Super-Bias",104.34,"day",16.60,"hr",105.03,"day"
"108.12","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",105.03,"day",3.73,"hr",105.18,"day"
"348","NIS-09","NIRISS  Detector Gain",105.18,"day",3.12,"hr",105.31,"day"
"102.10","NRC-09","NIRCam Darks",105.31,"day",1.18,"hr",105.36,"day"
"867.2","NRC-16","NIRCam Post-MIMF Focus Adjustment ",105.76,"day",2.37,"hr",105.86,"day"
"868.2","NIS-32","NIRISS Post-MIMF Focus Adjustment ",105.86,"day",1.20,"hr",105.91,"day"
"869.2","NRS-20","NIRSpec Post-MIMF Focus Adjustment ",105.91,"day",0.21,"hr",105.92,"day"
"870.2","FGS-18","FGS Post-MIMF Focus Adjustment ",105.92,"day",1.13,"hr",105.97,"day"
"749","OTE-31.2","MIMF Correction 2",105.97,"day",2.19,"hr",106.06,"day"
"749","OTE-31.2","MIMF Correction 2 - Analysis",106.06,"day",2.00,"hr",106.14,"day"
"108.13","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",106.06,"day",4.39,"hr",106.24,"day"
"750","OTE-32.2","STA-FGS Alignment Matrix Update 6 (for MIMF Correction)",106.14,"day",6.85,"hr",106.43,"day"
"751.1","OTE-15.3","MIMF Recovery 2: Segment Image Array 4",106.43,"day",2.62,"hr",106.54,"day"
"751.1","OTE-15.3","MIMF Recovery 2: Segment Image Array 4 - Analysis",106.54,"day",8.83,"hr",106.90,"day"
"108.14","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",106.54,"day",4.25,"hr",106.71,"day"
"108.15","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",106.71,"day",4.39,"hr",106.90,"day"
"751.2","OTE-16.3","MIMF Recovery 2: Global Alignment 4",106.90,"day",13.55,"hr",107.47,"day"
"751.2","OTE-16.3","MIMF Recovery 2: Global Alignment 4 - Analysis",107.47,"day",35.00,"hr",108.93,"day"
"763.5","NRS-39","NIRSpec Subarray Darks and Super-Bias",107.47,"day",10.43,"hr",107.90,"day"
"108.16","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",107.90,"day",3.73,"hr",108.06,"day"
"108.17","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",108.06,"day",4.86,"hr",108.26,"day"
"108.18","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",108.26,"day",4.39,"hr",108.44,"day"
"108.19","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",108.44,"day",3.73,"hr",108.60,"day"
"108.20","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",108.60,"day",4.25,"hr",108.78,"day"
"751.3","OTE-17.3","MIMF Recovery 2: Image Stacking 4",108.93,"day",3.24,"hr",109.06,"day"
"751.3","OTE-17.3","MIMF Recovery 2: Image Stacking 4 - Analysis",109.06,"day",6.00,"hr",109.31,"day"
"108.21","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",109.06,"day",4.39,"hr",109.25,"day"
"751.4","OTE-18.3","MIMF Recovery 2: Fine Phasing 7",109.31,"day",11.55,"hr",109.79,"day"
"751.4","OTE-18.3","MIMF Recovery 2: Fine Phasing 7 - Analysis",109.79,"day",17.00,"hr",110.50,"day"
"108.22","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",109.79,"day",4.86,"hr",110.00,"day"
"108.23","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",110.00,"day",3.73,"hr",110.15,"day"
"108.24","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",110.15,"day",3.73,"hr",110.31,"day"
"751.5","OTE-19.3","MIMF Recovery 2: Coarse Phasing 6",110.50,"day",5.33,"hr",110.72,"day"
"751.5","OTE-19.3","MIMF Recovery 2: Coarse Phasing 6 - Analysis",110.72,"day",8.50,"hr",111.08,"day"
"108.25","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",110.72,"day",4.39,"hr",110.91,"day"
"862.4",,"Stationkeeping maneuver",110.91,"day",3.33,"hr",111.05,"day"
"751.6","OTE-21.3","MIMF Recovery 2: Fine Phasing 8",111.08,"day",11.93,"hr",111.58,"day"
"751.6","OTE-21.3","MIMF Recovery 2: Fine Phasing 8 - Analysis",111.58,"day",21.00,"hr",112.45,"day"
"108.26","NRS-22","NIRSpec MSA Internal Spectral Flatfield and Wavelength Calibration",111.58,"day",4.25,"hr",111.75,"day"
"751.7","OTE-22.3","MIMF Recovery 2: Coarse Phasing 7",112.45,"day",7.23,"hr",112.75,"day"
"751.7","OTE-22.3","MIMF Recovery 2: Coarse Phasing 7 - Analysis",112.75,"day",10.00,"hr",113.17,"day"
"751.8","OTE-23.3","MIMF Recovery 2: Fine Phasing 9",113.17,"day",6.98,"hr",113.46,"day"
"751.8","OTE-23.3","MIMF Recovery 2: Fine Phasing 9 - Analysis",113.46,"day",10.00,"hr",113.88,"day"
"751.9","OTE-25.5","MIMF Recovery 2: NIRCam Multi-Field Monitor 5",113.88,"day",13.73,"hr",114.45,"day"
"751.10","OTE-28.3","MIMF Recovery 2: Pre-MIMF In-Focus PSF Check 3",114.45,"day",9.29,"hr",114.84,"day"
"751.10","OTE-28.3","MIMF Recovery 2: Pre-MIMF In-Focus PSF Check 3 - Analysis",114.84,"day",6.00,"hr",115.09,"day"
"MILESTONE",,"MIMF Recovery Complete",115.09,"day",0.00,"hr",115.09,"day"
"70","OTE-29.3","MIMF Measurement 3",115.09,"day",45.68,"hr",116.99,"day"
"70","OTE-29.3","MIMF Measurement 3 - Analysis",116.99,"day",13.00,"hr",117.53,"day"
"MILESTONE",,"OTE Alignment Complete",117.53,"day",0.00,"hr",117.53,"day"
"373.1","NIS-10.1","NIRISS CFM Focus Sweep (Measure -1)",118.00,"day",1.80,"hr",118.08,"day"
"373.1","NIS-10.1","NIRISS CFM Focus Sweep Ground Analysis",118.08,"day",72.00,"hr",121.08,"day"
"104.1","NRC-15","NIRCam Focus Adjust - Collect data on Module 1",118.16,"day",3.25,"hr",118.29,"day"
"104.1","NRC-15","NIRCam Focus  Adjust - Module 1 - Ground Analysis",118.29,"day",3.00,"hr",118.42,"day"
"104.2","NRC-15","NIRCam Focus Adjust - Collect data on Module 2",118.33,"day",3.25,"hr",118.47,"day"
"104.2","NRC-15","NIRCam Focus Adjust - Module 2 - Ground Analysis",118.47,"day",8.00,"hr",118.80,"day"
"99","FGS-12","FGS-Guider Focus",118.55,"day",4.72,"hr",118.75,"day"
