" JWST June 2021 Working Commissioning Timeline ",,,,,,,,
"99","FGS-12","FGS-Guider Focus - Ground Analysis",118.75,"day",168.00,"hr",125.75,"day"
"111.1","NRS-18.1","NIRSpec focus determination",118.83,"day",1.40,"hr",118.89,"day"
"111.1","NRS-18.1","NIRSpec focus - Ground Analysis",118.89,"day",72.00,"hr",121.89,"day"
"78","NRC-21","NIRCam Astrometric Calibration",118.91,"day",6.36,"hr",119.18,"day"
"78","NRC-21","NIRCam Astrometric Calibration - Ground Analysis",119.18,"day",240.00,"hr",129.18,"day"
"905","MIR-81","MIRI JT Anneal Jitter",119.26,"day",2.50,"hr",119.37,"day"
"905","MIR-81","MIRI JT Anneal Jitter  - Analysis",119.37,"day",96.00,"hr",123.37,"day"
"71.8","OTE-26","WFSC Routine/CC Jitter Maintenance ",119.42,"day",2.13,"hr",119.51,"day"
"782","NRC-21b","NIRCam Coronographic Astrometric Calibration ",119.59,"day",12.80,"hr",120.12,"day"
"80","NRC-23","NIRCam Image-Quality Verification by Filter",120.21,"day",3.87,"hr",120.29,"day"
"219.1","NRC-32.1","NIRCam LW Grism Baseline Characterization",120.37,"day",17.50,"hr",121.10,"day"
"219.1","NRC-32.1","NIRCam LW Grism Baseline Characterization Observation 1 - Ground Analysis",120.45,"day",24.00,"hr",121.45,"day"
"373.2","NIS-10.2","NIRISS CFM Focus Sweep (Measure -2)",121.18,"day",0.50,"hr",121.20,"day"
"373.3","NIS-10.2","NIRISS CFM Focus Sweep Ground Analysis",121.20,"day",8.00,"hr",121.53,"day"
"71.9","OTE-26","WFSC Routine/CC Jitter Maintenance ",121.31,"day",2.13,"hr",121.40,"day"
"219.2","NRC-32.2","NIRCam LW Grism Baseline Characterization",121.45,"day",1.50,"hr",121.52,"day"
"373.4","NIS-10.3","NIRISS CFM Focus Sweep (Measure - 3)",121.53,"day",11.75,"hr",122.02,"day"
"373.3","NIS-10.3","NIRISS CFM Focus Sweep Ground Analysis",122.02,"day",72.00,"hr",125.02,"day"
"111.2","NRS-18.2","NIRSpec focus uplink",122.10,"day",0.25,"hr",122.11,"day"
"112","NRS-19","NIRSpec astrometric calibration",122.19,"day",2.25,"hr",122.29,"day"
"112","NRS-19","NIRSpec astrometric calibration Ground Analysis",122.29,"day",120.00,"hr",127.29,"day"
"901","NRC-33","NIRCam LW Grism Stability",122.37,"day",4.85,"hr",122.57,"day"
"906.1","MIRI-82.1","MIRI JT Anneal Final Configuration",123.37,"day",0.50,"hr",123.39,"day"
"906.2","MIRI-82.2","MIRI JT Anneal Final Configuration",123.53,"day",0.50,"hr",123.55,"day"
"906.3","MIRI-82.3","MIRI JT Anneal Final Configuration",123.70,"day",0.50,"hr",123.72,"day"
"906.4","MIRI-82.4","MIRI JT Anneal Final Configuration",123.87,"day",0.50,"hr",123.89,"day"
"906.5","MIRI-82.5","MIRI JT Anneal Final Configuration",124.03,"day",0.50,"hr",124.05,"day"
"71.10","OTE-26","WFSC Routine/CC Jitter Maintenance ",124.10,"day",2.13,"hr",124.19,"day"
"903.3",,"OTE FSM Stability & Spiral Scan ",124.27,"day",2.00,"hr",124.35,"day"
"74.4","MIRI-05.03","MIRI Detector Anneals (to support MIR-07)",125.05,"day",3.00,"hr",125.18,"day"
"76","MIRI-07","MIRI Plate Scale & Geometric Distort Measure",125.18,"day",10.70,"hr",125.62,"day"
"76","MIRI-07","MIRI Plate Scale & Geometric Distort Measure - Ground Analysis",125.62,"day",504.00,"hr",146.62,"day"
"374","NIS-11","NIRISS External Flat Fields",125.67,"day",17.81,"hr",126.41,"day"
"374","NIS-11","NIRISS External Flat Fields Ground Analysis",126.41,"day",96.00,"hr",130.41,"day"
"71.11","OTE-26","WFSC Routine/CC Jitter Maintenance ",126.48,"day",2.13,"hr",126.56,"day"
"98","FGS-11","FGS-Guider Geometric Distortion and Scale",126.60,"day",2.85,"hr",126.72,"day"
"862.5",,"Stationkeeping maneuver",126.80,"day",3.33,"hr",126.94,"day"
"170.8",,"Momentum Unload",126.94,"day",3.50,"hr",127.09,"day"
"MILESTONE",,"Slew & Remain at HOT Attitude (0 +/- 5 deg pitch)",127.09,"day",128.73,"hr",132.45,"day"
"819.1","THS-02","Slew to Hot Attitude",127.09,"day",1.00,"hr",127.13,"day"
"812.1","MIR-73.1","MIRI Sky background variation with telescope pointing (part 1)",127.21,"day",4.50,"hr",127.40,"day"
"809",,"SC Bus HDE TCL Characterization",127.59,"day",4.00,"hr",127.75,"day"
"71.12","OTE-26","WFSC Routine/CC Jitter Maintenance ",127.82,"day",2.13,"hr",127.91,"day"
"81","NRC-24","NIRCam Dither-Pattern Verification",129.18,"day",4.73,"hr",129.37,"day"
"81","NRC-24","NIRCam Dither-Pattern Verification - Ground Analysis",129.37,"day",48.00,"hr",131.37,"day"
"71.13","OTE-26","WFSC Routine/CC Jitter Maintenance ",129.91,"day",2.13,"hr",130.00,"day"
"709.1","NRC-30.1","NIRCam Target Acquisition for Coronagraphy (Part 1)",130.08,"day",11.50,"hr",130.56,"day"
"376","NIS-13","NIRISS Coordinate System Update ",130.66,"day",2.31,"hr",130.76,"day"
"376","NIS-13","NIRISS Coordinate System Update Ground Analysis",130.76,"day",72.00,"hr",133.76,"day"
"819.2","THS-02","Wavefront Maintenance",131.09,"day",2.50,"hr",131.19,"day"
"819.3","THS-02","Observatory Pointing Stability (NIRCam/NIRISS)",131.27,"day",3.00,"hr",131.40,"day"
"819.4","THS-02","NIRCam IEC Cyclic Drifts Measurement",131.48,"day",2.00,"hr",131.57,"day"
"819.5","THS-02","NIRCam Internal Phase Retrieval -Hot",131.65,"day",1.00,"hr",131.69,"day"
"819.6","THS-02","NIRCam Multi-Field + LOS Monitor",131.77,"day",12.00,"hr",132.27,"day"
"819.7","THS-02","Hot attidude ground analysis",132.27,"day",6.00,"hr",132.52,"day"
"105","NRC-19","NIRCam Subarray-Mode Commissioning",132.32,"day",3.00,"hr",132.45,"day"
"105","NRC-19","NIRCam Subarray-Mode Commissioning - Ground Analysis",132.45,"day",48.00,"hr",134.45,"day"
"811.1",,"Cold Attitude CAM",132.52,"day",2.00,"hr",132.61,"day"
"MILESTONE",,"Slew & Remain at COLD ATTITUDE (-40 +/- 5 deg pitch)",132.61,"day",336.00,"hr",146.61,"day"
"811.1","THS-01","Frill/PMSA/OTE Thermal Distortion PM8 only + Pointing Stability",132.69,"day",3.00,"hr",132.82,"day"
"811.2","THS-01","Frill/PMSA/OTE Thermal Distortion + Pointing Stability",132.90,"day",21.00,"hr",133.77,"day"
"811.3.1","THS-01","NIRCam Multi-Field + LOS Monitor",133.86,"day",12.00,"hr",134.36,"day"
"810",,"SC Bus HDE TCL Characterization",134.44,"day",4.00,"hr",134.61,"day"
"SEP2",,"NIRCam Time Series Ground Analysis",134.45,"day",48.00,"hr",136.45,"day"
"811.4.01","THS-01","NIRCam Single-Field + LOS Monitor",134.69,"day",1.40,"hr",134.75,"day"
"812.2","MIR-73.2","MIRI Sky background variation with telescope pointing (part 2)",134.83,"day",4.50,"hr",135.02,"day"
"811.4.02","THS-01","NIRCam Single-Field + LOS Monitor",135.25,"day",1.40,"hr",135.31,"day"
"811.4.03","THS-01","NIRCam Single-Field + LOS Monitor",135.81,"day",1.40,"hr",135.87,"day"
"811.4.04","THS-01","NIRCam Single-Field + LOS Monitor",136.37,"day",1.40,"hr",136.42,"day"
"MILESTONE",,"NIRCam Grism Timeseries & Photometric Time Series Enable Decision Point",136.45,"day",0.00,"hr",136.45,"day"
"SEP 3",,"NIRCam Wide Field Slitless Spectroscopy (WFSS)  Ground Analysis",136.45,"day",48.00,"hr",138.45,"day"
"702","NIS-18","NIRISS GR700XD Wavelength Calibration",136.51,"day",3.00,"hr",136.63,"day"
"811.4.05","THS-01","NIRCam Single-Field + LOS Monitor",136.92,"day",1.40,"hr",136.98,"day"
"120.1","NRC-10.1","NIRCam External Flats (1 of 5 visits) ",137.07,"day",11.00,"hr",137.52,"day"
"811.4.06","THS-01","NIRCam Single-Field + LOS Monitor",137.58,"day",1.40,"hr",137.64,"day"
"120.2","NRC-10.2","NIRCam External Flats (2 of 5 visits)",137.72,"day",11.00,"hr",138.18,"day"
"811.4.07","THS-01","NIRCam Single-Field + LOS Monitor",138.24,"day",1.40,"hr",138.30,"day"
"706","NIS-22","NIRISS PSF Characterization",138.38,"day",4.70,"hr",138.58,"day"
"MILESTONE",,"NIRCam Wide Field Slitless Spectroscopy (WFSS) Science Enable Decision Point",138.45,"day",0.00,"hr",138.45,"day"
"811.4.08","THS-01","NIRCam Single-Field + LOS Monitor",138.80,"day",1.40,"hr",138.86,"day"
"811.4.09","THS-01","NIRCam Single-Field + LOS Monitor",139.36,"day",1.40,"hr",139.42,"day"
"811.3.2","THS-01","NIRCam Multi-Field + LOS Monitor",139.92,"day",12.00,"hr",140.42,"day"
"90.1","NRC-17.1","NIRCam PSF Wings, Glints, and Ghosts (1 of 2 visits)",140.50,"day",15.00,"hr",141.12,"day"
"811.4.10","THS-01","NIRCam Single-Field + LOS Monitor",141.42,"day",1.40,"hr",141.47,"day"
"90.2","NRC-17.2","NIRCam PSF Wings, Glints, and Ghosts (2 of 2 visits)",141.56,"day",5.00,"hr",141.77,"day"
"74.5","MIR-05","MIRI Detector Anneals (to support MIR-51)",141.85,"day",0.50,"hr",141.87,"day"
"141","MIR-51","MIRI Locations of Centers of Coronagraphs",141.87,"day",2.50,"hr",141.97,"day"
"141","MIR-51","MIRI Locations of Centers of Coronagraphs - Ground Analysis",141.97,"day",48.00,"hr",143.97,"day"
"120.3","NRC-10.3","NIRCam External Flats (3 of 5 visits)",142.06,"day",11.00,"hr",142.52,"day"
"811.4.11","THS-01","NIRCam Single-Field + LOS Monitor",142.52,"day",1.40,"hr",142.58,"day"
"120.4","NRC-10.4","NIRCam External Flats (4 of 5 visits)",142.67,"day",11.00,"hr",143.12,"day"
"811.4.12","THS-01","NIRCam Single-Field + LOS Monitor",143.61,"day",1.40,"hr",143.67,"day"
"120.5","NRC-10.5","NIRCam External Flats (5 of 5 visits)",143.75,"day",11.00,"hr",144.21,"day"
"705","NIS-21","NIRISS  Stray Light Contamination",144.30,"day",4.90,"hr",144.50,"day"
"811.4.13","THS-01","NIRCam Single-Field + LOS Monitor",144.77,"day",1.40,"hr",144.83,"day"
"811.5","THS-01","NIRCam Internal Phase Retrieval -Cold",145.98,"day",1.00,"hr",146.02,"day"
"811.3.3","THS-01","NIRCam Multi-Field + LOS Monitor",146.11,"day",12.00,"hr",146.61,"day"
"811.6",,"Cold Attitude Ground Analysis",146.61,"day",6.00,"hr",146.86,"day"
"819.8",,"Hot Attitude CAM",146.86,"day",2.00,"hr",146.94,"day"
"MILESTONE",,"Slew and Remain at HOT Attitude (0 +/- 5 deg pitch)",146.94,"day",3.00,"hr",147.07,"day"
"819.8","THS-02","Observatory Pointing Stability (NIRCam/NIRISS)",146.94,"day",3.00,"hr",147.07,"day"
"819.8",,"Observatory Pointing Stability ground analysis",147.07,"day",8.00,"hr",147.40,"day"
"MILESTONE",,"Thermal Slew Test Complete",147.07,"day",0.00,"hr",147.07,"day"
"862.6",,"Stationkeeping maneuver",147.15,"day",3.33,"hr",147.29,"day"
"806",,"Solar Array Data Gathering & GPD at Hot Attitude ",147.15,"day",0.50,"hr",147.17,"day"
"83.1",,"WF Maintenance (every 14 days)",147.37,"day",2.50,"hr",147.47,"day"
"124.1","NRC-29.1","NIRCam Photometric Zero-Points and Stability",147.56,"day",13.00,"hr",148.10,"day"
"754","STL-02","Stray Light Correlation (includes slew to 5 attitudes)",148.18,"day",24.70,"hr",149.21,"day"
"SEP1",,"NIRCam Imaging Ground Analysis",149.21,"day",120.00,"hr",154.21,"day"
"707.1","NIS-20.1","NIRISS Photometric Zero Points and Stability (Part 1)",149.30,"day",7.60,"hr",149.61,"day"
"707.1","NIS-20.1","NIRISS Photometric Zero Points and Stability - Ground Analysis",149.61,"day",336.00,"hr",163.61,"day"
"SEP 6",,"NIRISS Imaging Ground Analysis",149.61,"day",120.00,"hr",154.61,"day"
"71.14","OTE-26","WFSC Routine/CC Jitter Maintenance ",149.68,"day",2.13,"hr",149.77,"day"
"709.2","NRC-30.2","NIRCam Target Acquisition for Coronagraphy (Part 2)",149.86,"day",7.00,"hr",150.15,"day"
"800","FGS-05","FGS - Fine Steering Mirror Offsets",150.23,"day",1.30,"hr",150.29,"day"
"74.6","MIR-05","MIRI Detector Anneals (to support MIR-78)",150.37,"day",0.50,"hr",150.39,"day"
"882","MIR-78","MIRI Coronagraphic Target Acquisition",150.39,"day",11.50,"hr",150.87,"day"
"882","MIR-78","MIRI  Coronagraphic Target Acquisition - Ground Analysis",150.87,"day",48.00,"hr",152.87,"day"
"703","NIS-19","NIRISS Non-Redundant Mask (NRM) Performance ",150.95,"day",7.90,"hr",151.28,"day"
"703","NIS-19","NIRISS Non-Redundant Mask (NRM) Performance Ground Analysis",151.28,"day",72.00,"hr",154.28,"day"
"701","NIS-17","NIRISS GR700XD Flux Calibration",151.37,"day",7.75,"hr",151.69,"day"
"701","NIS-17","NIRISS GR700XD Flux Calibration Ground Analysis",151.69,"day",48.00,"hr",153.69,"day"
"71.15","OTE-26","WFSC Routine/CC Jitter Maintenance ",151.77,"day",2.13,"hr",151.86,"day"
"699","NIS-15","NIRISS GR150C/R Flux and Trace Calibration ",151.95,"day",8.67,"hr",152.31,"day"
"699","NIS-15","NIRISS GR150C/R Flux and Trace Calibration - Ground Analysis",152.31,"day",24.00,"hr",153.31,"day"
"114","MIR-13","MIRI MRS/LRS Target Acquisition",152.39,"day",7.05,"hr",152.68,"day"
"145","MIR-52","MIRI Detector Latent Image Characterization",152.77,"day",3.42,"hr",152.91,"day"
"74.7","MIR-05","MIRI Detector Anneals (to support MIR-72)",152.99,"day",2.40,"hr",153.09,"day"
"813","MIR-72","MIRI Imager Pixel Flat",153.09,"day",18.70,"hr",153.87,"day"
"71.16","OTE-26","WFSC Routine/CC Jitter Maintenance ",153.91,"day",2.13,"hr",154.00,"day"
"227","MIR-53","MIRI External Flat Field - Imager",154.08,"day",16.10,"hr",154.76,"day"
"MILESTONE",,"NIRCam Imaging Science Enable Decision Point",154.21,"day",0.00,"hr",154.21,"day"
"MILESTONE",,"NIRISS - Imaging Science Enabled Decision Point",154.61,"day",0.00,"hr",154.61,"day"
"89","MIR-12","MIRI Imager PSF Characterization",154.84,"day",10.70,"hr",155.28,"day"
"119","MIR-16","MIRI Imager and LRS Glints and Scattered Light",155.37,"day",1.60,"hr",155.43,"day"
"74.8","MIR-05","MIRI Detector Anneals (post MIR-16)",155.43,"day",0.45,"hr",155.45,"day"
"ERO-1.1",,"ERO 1 - NRC",155.45,"day",3.30,"hr",155.59,"day"
"ERO-2.1",,"ERO 2 - NRC",155.59,"day",3.70,"hr",155.74,"day"
"ERO-3.1",,"ERO 3 - NRC",155.74,"day",6.70,"hr",156.02,"day"
"ERO-4.1",,"ERO 4 - NRC",156.02,"day",3.40,"hr",156.17,"day"
"ERO-5.1",,"ERO 5 - NRC",156.17,"day",3.30,"hr",156.30,"day"
"MILESTONE",,"NIRISS AMI Science Enable Decision Point",156.28,"day",0.00,"hr",156.28,"day"
"ERO-6.1",,"ERO 6 - NRC",156.30,"day",3.80,"hr",156.46,"day"
"71.17","OTE-26","WFSC Routine/CC Jitter Maintenance ",156.55,"day",2.13,"hr",156.64,"day"
"116","MIR-15","MIRI Spectral Resolution and Dispersion Relation",156.72,"day",11.00,"hr",157.18,"day"
"883","MIR-76","MIRI LRS Spectral Resolution and Dispersion Ratio",157.26,"day",2.65,"hr",157.38,"day"
"88.1","MIR-11.1","MIRI Imager Photometric Zero Points and Stability (Part 1)",157.46,"day",11.70,"hr",157.95,"day"
"SEP7",,"MIRI Imager Ground Analysis",157.95,"day",120.00,"hr",162.95,"day"
"144","MIR-18","MIRI LRS Slit Transmission and Losses",158.03,"day",1.58,"hr",158.10,"day"
"910","NIS-34","Sensitivity & Stability for Transiting Exoplanet Observations",158.18,"day",6.10,"hr",158.43,"day"
"SEP 4",,"NIRISS SOSS Ground Analysis",158.43,"day",120.00,"hr",163.43,"day"
"71.18","OTE-26","WFSC Routine/CC Jitter Maintenance ",158.51,"day",2.13,"hr",158.60,"day"
"127","MIR-50","MIRI Coronagraphic Scattered Light & Contrast Ratios",158.68,"day",28.55,"hr",159.87,"day"
"167","MIR-63","MIRI MRS PSF Characterization and Spatial Resolution",159.95,"day",9.68,"hr",160.36,"day"
"770","MIR-74","MIRI LRS PSF Characterization",160.44,"day",3.87,"hr",160.60,"day"
"217","MIR-58","MIRI Coronagraph PSF Characterization",160.69,"day",8.63,"hr",161.05,"day"
"SEP10",,"MIRI Coronagraphy Ground Analysis",161.05,"day",120.00,"hr",166.05,"day"
"74.9","MIR-05","MIRI Detector Anneals (to support MIR-61)",161.13,"day",0.45,"hr",161.15,"day"
"165","MIR-61","MIRI External Flat Field - MRS",161.15,"day",5.63,"hr",161.38,"day"
"83.2",,"WF Maintenace (every 14 days post thermal slew)",161.47,"day",2.50,"hr",161.58,"day"
"216","MIR-55","MIRI External Flat Field - Low Resolution Spectrometer ",161.66,"day",8.40,"hr",162.01,"day"
"769","MIR-75","MIRI LRS Extended Source Flat Field",162.10,"day",3.86,"hr",162.26,"day"
"74.10","MIR-05","MIRI Detector Anneals (to support MIR-56)",162.34,"day",3.10,"hr",162.47,"day"
"218","MIR-56","MIRI External Flat Field - Coronagraphs",162.47,"day",10.16,"hr",162.89,"day"
"MILESTONE",,"MIRI Imager Science Enabled Decision Point",162.95,"day",0.00,"hr",162.95,"day"
"168.1","MIR-64.1","MIRI MRS Photometric Sensitivity and Stability (Part 1)",162.98,"day",9.30,"hr",163.36,"day"
"SEP8",,"MIRI MRS Ground Analysis",163.36,"day",120.00,"hr",168.36,"day"
"MILESTONE",,"NIRISS SOSS Science Enabled Decision Point",163.43,"day",0.00,"hr",163.43,"day"
"214","MIR-17","MIRI LRS Photometric Sensitivity and Stability",163.45,"day",3.41,"hr",163.59,"day"
"SEP9",,"MIRI LRS Ground Analysis",163.59,"day",120.00,"hr",168.59,"day"
"71.19","OTE-26","WFSC Routine/CC Jitter Maintenance ",163.61,"day",2.13,"hr",163.70,"day"
"ERO-7",,"ERO 7 - NIS",163.70,"day",15.40,"hr",164.34,"day"
"ERO-9",,"ERO 9 - NIS",164.34,"day",12.50,"hr",164.86,"day"
"164.1","FGS-15.1","FGS Moving Target Test (Observation 1 of 3)",164.94,"day",1.50,"hr",165.01,"day"
"164.1","FGS-15.1","FGS Moving Target Test (Observation 1 of 3) Ground Analysis",165.01,"day",36.00,"hr",166.51,"day"
"225.1","NRS-17.1","NIRSpec Wide Aperture Target Acquisition (WATA) Verification",165.09,"day",4.50,"hr",165.28,"day"
"225.1","NRS-17.1","NIRSpec Wide Aperture Target Acquisition (WATA) Verification - Analysis",165.28,"day",24.00,"hr",166.28,"day"
"918","FGS-20","Testing JWST Fine Guilding in Crowded Fields",165.36,"day",2.83,"hr",165.48,"day"
"700","NIS-16","NIRISS GR150C/R Wavelength Calibration ",165.56,"day",6.13,"hr",165.82,"day"
"700","NIS-16","NIRISS GR150C/R Wavelength Calibration- Ground Analysis",165.82,"day",48.00,"hr",167.82,"day"
"71.20","OTE-26","WFSC Routine/CC Jitter Maintenance ",165.85,"day",2.13,"hr",165.94,"day"
"MILESTONE",,"MIRI Coronagraphy Science Enabled Decision Point",166.05,"day",0.00,"hr",166.05,"day"
"225.2","NRS-17.2","NIRSpec Wide Aperture Target Acquisition (WATA) Verification",166.28,"day",1.70,"hr",166.35,"day"
"110","NRS-16","NIRSpec Standard Target Acquisition Verification",166.43,"day",4.00,"hr",166.60,"day"
"110","NRS-16","NIRSpec Standard Target Acquisition Verification - Ground Analysis",166.60,"day",48.00,"hr",168.60,"day"
"ERO-1.1",,"ERO 1 - MIR",166.60,"day",3.80,"hr",166.76,"day"
"ERO-2.1",,"ERO 2 - MIR",166.76,"day",6.90,"hr",167.04,"day"
"ERO-3.1",,"ERO 3 - MIR",167.04,"day",10.40,"hr",167.48,"day"
"ERO-4.1",,"ERO 4 - MIR",167.48,"day",6.70,"hr",167.76,"day"
"ERO-5.1",,"ERO 5 - MIR",167.76,"day",3.80,"hr",167.91,"day"
"SEP5",,"NIRISS WFSS Ground Analysis",167.82,"day",120.00,"hr",172.82,"day"
"ERO-6.2",,"ERO 6 - MIR",167.91,"day",7.80,"hr",168.24,"day"
"71.21","OTE-26","WFSC Routine/CC Jitter Maintenance ",168.29,"day",2.13,"hr",168.38,"day"
"MILESTONE",,"MIRI MRS Science Enabled Decision Point",168.36,"day",0.00,"hr",168.36,"day"
"164.2","FGS-15.2","FGS Moving target Test (Observation 2 of 3)",168.38,"day",2.65,"hr",168.49,"day"
"164.3","FGS-15.3","FGS Moving target Test (Observation 3 of 3)",168.57,"day",1.50,"hr",168.63,"day"
"MILESTONE",,"MIRI LRS Science Enabled Decision Point",168.59,"day",0.00,"hr",168.59,"day"
"MILESTONE",,"Comet and Asteroid Moving Target Science Enable Decision Point",168.63,"day",0.00,"hr",168.63,"day"
"124.2","NRC-29.2","NIRCam Photometric Zero-Points and Stability",168.71,"day",2.50,"hr",168.82,"day"
"88.2","MIR-11.2","MIRI Imager Photometric Zero Points and Stability ",168.90,"day",3.64,"hr",169.05,"day"
"907","NRC-31","NIRCam Coronagraphic Suppression ",169.14,"day",17.00,"hr",169.85,"day"
"774.1","FGS-17.1","FGS Giant Planet Scattered Light (NIRCam)",169.93,"day",1.40,"hr",169.99,"day"
"774.2","FGS-17.2","FGS Giant Planet Scattered Light (NIRISS)",169.99,"day",7.76,"hr",170.31,"day"
"774.3","FGS-17.3","FGS Giant Planet Scattered Light (MIRI)",170.31,"day",2.80,"hr",170.43,"day"
"774.4","FGS-17.4","FGS Giant Planet Scattered Light (NIRSpec)",170.43,"day",2.35,"hr",170.53,"day"
"MILESTONE",,"Planet and Planetary Satellite Science Enable Decision Point",170.53,"day",0.00,"hr",170.53,"day"
"71.22","OTE-26","WFSC Routine/CC Jitter Maintenance ",170.58,"day",2.13,"hr",170.66,"day"
"142","NRS-26","NIRSpec MSA external wavelength calibration",170.74,"day",15.05,"hr",171.36,"day"
"ERO-14",,"ERO 14 - MIR",171.36,"day",3.00,"hr",171.49,"day"
"ERO-15",,"ERO 15 - MIR",171.49,"day",4.00,"hr",171.66,"day"
"71.23","OTE-26","WFSC Routine/CC Jitter Maintenance ",171.70,"day",2.13,"hr",171.79,"day"
"150","NRS-32","NIRSpec On-Sky Throughput Measurements",171.88,"day",44.10,"hr",173.71,"day"
"MILESTONE",,"NIRCam Basic Coronagraphy Science Enable Decision Point",172.14,"day",0.00,"hr",172.14,"day"
"MILESTONE",,"NIRISS WFSS Science Enable Decision Point",172.82,"day",0.00,"hr",172.82,"day"
"772","NRS-42","NIRSpec Slit Loss Characterization for MSA Shutters",173.80,"day",10.30,"hr",174.23,"day"
"SEP11",,"NIRSpec Science Ground Analysis",174.23,"day",120.00,"hr",179.23,"day"
"71.24","OTE-26","WFSC Routine/CC Jitter Maintenance ",174.29,"day",2.13,"hr",174.38,"day"
"74.11","MIR-05","MIRI Detector Anneals (to support MIR-77)",174.46,"day",3.10,"hr",174.59,"day"
"873","MIR-77","MIRI Bright Source Sensitivity",174.59,"day",3.15,"hr",174.73,"day"
"226","NRS-25","NIRSpec Ghosts, Glints & Scattered Light Check",174.81,"day",3.00,"hr",174.93,"day"
"168.2","MIR-64.2","MIRI MRS Photometric Sensitivity and Stability (Part 2)",175.00,"day",2.07,"hr",175.09,"day"
"707.2","NIS-20.2","NIRISS Photometric Zero Points and Stability (Part 2)",175.16,"day",7.60,"hr",175.48,"day"
"919","FGS-21","NIRSpec Moving Target Test",175.56,"day",2.80,"hr",175.68,"day"
"920","MIR-90","MIRI Moving-Target Tracking Test",175.76,"day",1.30,"hr",175.82,"day"
"MILESTONE",,"Observatory Commissioning Complete",175.82,"day",0.00,"hr",175.82,"day"
"ERO-12",,"ERO 12 - NIS",175.82,"day",4.50,"hr",176.00,"day"
"ERO-13",,"ERO 13 - NIS",176.00,"day",5.00,"hr",176.21,"day"
"MILESTONE",,"NIRSpec Single Object Spectroscopy Science Enable Decision Point",179.23,"day",0.00,"hr",179.23,"day"
"MILESTONE",,"NIRSpec Bright Object Time Series Spectroscopy Science Enable Decision Point",179.23,"day",0.00,"hr",179.23,"day"
"MILESTONE",,"NIRSpec Integral-Field Spectroscopy Science Enable Decision Point",179.23,"day",0.00,"hr",179.23,"day"
"MILESTONE",,"NIRSpec Multi-Object Spectroscopy Enabled Decision Point",179.23,"day",0.00,"hr",179.23,"day"
"ERO-8",,"ERO 8 - NRS",179.23,"day",4.30,"hr",179.41,"day"
"ERO-10",,"ERO 10 - NRS",179.41,"day",4.10,"hr",179.58,"day"
"ERO-11",,"ERO 11 - NRS",179.58,"day",2.30,"hr",179.67,"day"
